C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.entityReplacementLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=javax.xml.accessExternalDTD, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=javax.xml.accessExternalSchema, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.entityExpansionLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=entityExpansionLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxOccurLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=maxOccurLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.elementAttributeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=elementAttributeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.totalEntitySizeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxGeneralEntitySizeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxParameterEntitySizeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxElementDepth, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxXMLNameLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.entityReplacementLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.entityExpansionLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=entityExpansionLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxOccurLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=maxOccurLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.elementAttributeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=elementAttributeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.totalEntitySizeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxGeneralEntitySizeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxParameterEntitySizeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxElementDepth, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxXMLNameLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.entityReplacementLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=javax.xml.accessExternalDTD, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=javax.xml.accessExternalSchema, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.entityExpansionLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=entityExpansionLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxOccurLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=maxOccurLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.elementAttributeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=elementAttributeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.totalEntitySizeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxGeneralEntitySizeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxParameterEntitySizeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxElementDepth, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxXMLNameLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.entityReplacementLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.entityExpansionLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=entityExpansionLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.maxOccurLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=maxOccurLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=jdk.xml.elementAttributeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.config.property |  | call_context=java.lang.Thread.getStackTrace, caller=java.lang.System:970, property_key=elementAttributeLimit, value_retrieved=false, AID=7KLZZAC0DM9RA1ISVXQY63NTK, operation=system_getProperty, CID=unit-test
